course,score,status,url
"Cultura de paz y derechos humanos",,existing,"D:/Documentos/LaTEX/Template-Informe/UANL/ingenieria-en-mecatronica/cultura-de-paz-y-derechos-humanos-imtc/planeaciones-cultura-de-paz-y-derechos-humanos-imtc/p-analitico-cultura-de-paz-y-derechos-humanos-imtc.pdf"
"Igualdad de genero, diversidad sexual e inclusion",,existing,"D:/Documentos/LaTEX/Template-Informe/UANL/ingenieria-en-mecatronica/igualdad-genero-div-sexual-incl-imtc/planeaciones-igualdad-genero-div-sexual-incl-imtc/p-analitico-igualdad-genero-div-sexual-incl-imtc.pdf"
"Calculo diferencial","501",downloaded,"https://www.uanl.mx/wp-content/uploads/2025/06/1_PA_ING_Cálculo_diferencial.pdf"
"Algebra para ingenieria",,existing,"D:/Documentos/LaTEX/Template-Informe/UANL/ingenieria-en-mecatronica/algebra-para-ingenieria-imtc/planeaciones-algebra-para-ingenieria-imtc/p-analitico-algebra-para-ingenieria-imtc.pdf"
"Geometria analitica",,existing,"D:/Documentos/LaTEX/Template-Informe/UANL/ingenieria-en-mecatronica/geometria-analitica-imtc/planeaciones-geometria-analitica-imtc/p-analitico-geometria-analitica-imtc.pdf"
"Quimica general",,existing,"D:/Documentos/LaTEX/Template-Informe/UANL/ingenieria-en-mecatronica/quimica-general-imtc/planeaciones-quimica-general-imtc/p-analitico-quimica-general-imtc.pdf"
"Laboratorio de quimica general","16",missing,""
"Mecanica clasica","78",missing,""
"Laboratorio de mecanica clasica","-92",missing,""
"Liderazgo, emprendimiento e innovacion",,existing,"D:/Documentos/LaTEX/Template-Informe/UANL/ingenieria-en-mecatronica/liderazgo-emprendimiento-e-innovacion-imtc/planeaciones-liderazgo-emprendimiento-e-innovacion-imtc/p-analitico-liderazgo-emprendimiento-e-innovacion-imtc.pdf"
"Responsabilidad social y desarrollo sustentable",,existing,"D:/Documentos/LaTEX/Template-Informe/UANL/ingenieria-en-mecatronica/resp-social-desarrollo-sust-imtc/planeaciones-resp-social-desarrollo-sust-imtc/p-analitico-resp-social-desarrollo-sust-imtc.pdf"
