ficha,concepto,calidad_ficha,mejor_similitud,similitud_promedio,fuente,tipo_fuente,ubicacion,pagina_o_bloque,similitud,detalle_similitud,cita_textual,fragmento_id,ruta_fuente,ubicaciones_agrupadas,observacion
1,constitucional derecho,baja,0.0977,0.0977,README.md,md,bloque 1,1,0.0977,tfidf=0.0877; bonus=0.0100,"Referencias - Derecho a la seguridad social Carpeta para planeaciones, lecturas, notas, jurisprudencia, normas, casos, datos y evidencia auxiliar de la asignatura. Convenciones Registrar toda fuente final en ../derecho-a-la-seguridad-social.bib.",README_3fba96972d_b0001_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\derecho-a-la-seguridad-social-lde\referencias-derecho-a-la-seguridad-social\README.md,"README.md, bloque 1",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas.
2,control editorial,sin hallazgos,0.0,0.0,,,,,,,,,,Sin ubicaciones detectadas,No se localizaron fragmentos por encima del umbral configurado. Conviene revisar el concepto o ampliar el corpus.
3,derecho seguridad,media,0.1719,0.1719,README.md,md,bloque 1,1,0.1719,tfidf=0.1519; bonus=0.0200,"Referencias - Derecho a la seguridad social Carpeta para planeaciones, lecturas, notas, jurisprudencia, normas, casos, datos y evidencia auxiliar de la asignatura. Convenciones Registrar toda fuente final en ../derecho-a-la-seguridad-social.bib.",README_3fba96972d_b0001_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\derecho-a-la-seguridad-social-lde\referencias-derecho-a-la-seguridad-social\README.md,"README.md, bloque 1","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita."
4,derecho seguridad social,media,0.2448,0.2448,README.md,md,bloque 1,1,0.2448,tfidf=0.2148; bonus=0.0300,"Referencias - Derecho a la seguridad social Carpeta para planeaciones, lecturas, notas, jurisprudencia, normas, casos, datos y evidencia auxiliar de la asignatura. Convenciones Registrar toda fuente final en ../derecho-a-la-seguridad-social.bib.",README_3fba96972d_b0001_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\derecho-a-la-seguridad-social-lde\referencias-derecho-a-la-seguridad-social\README.md,"README.md, bloque 1","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita."
5,derecho unadm,baja,0.0977,0.0977,README.md,md,bloque 1,1,0.0977,tfidf=0.0877; bonus=0.0100,"Referencias - Derecho a la seguridad social Carpeta para planeaciones, lecturas, notas, jurisprudencia, normas, casos, datos y evidencia auxiliar de la asignatura. Convenciones Registrar toda fuente final en ../derecho-a-la-seguridad-social.bib.",README_3fba96972d_b0001_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\derecho-a-la-seguridad-social-lde\referencias-derecho-a-la-seguridad-social\README.md,"README.md, bloque 1",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas.
6,editorial verificable,sin hallazgos,0.0,0.0,,,,,,,,,,Sin ubicaciones detectadas,No se localizaron fragmentos por encima del umbral configurado. Conviene revisar el concepto o ampliar el corpus.
7,junio 2026,sin hallazgos,0.0,0.0,,,,,,,,,,Sin ubicaciones detectadas,No se localizaron fragmentos por encima del umbral configurado. Conviene revisar el concepto o ampliar el corpus.
8,licenciatura derecho,baja,0.0977,0.0977,README.md,md,bloque 1,1,0.0977,tfidf=0.0877; bonus=0.0100,"Referencias - Derecho a la seguridad social Carpeta para planeaciones, lecturas, notas, jurisprudencia, normas, casos, datos y evidencia auxiliar de la asignatura. Convenciones Registrar toda fuente final en ../derecho-a-la-seguridad-social.bib.",README_3fba96972d_b0001_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\derecho-a-la-seguridad-social-lde\referencias-derecho-a-la-seguridad-social\README.md,"README.md, bloque 1",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas.
9,licenciatura derecho unadm,baja,0.0977,0.0977,README.md,md,bloque 1,1,0.0977,tfidf=0.0877; bonus=0.0100,"Referencias - Derecho a la seguridad social Carpeta para planeaciones, lecturas, notas, jurisprudencia, normas, casos, datos y evidencia auxiliar de la asignatura. Convenciones Registrar toda fuente final en ../derecho-a-la-seguridad-social.bib.",README_3fba96972d_b0001_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\derecho-a-la-seguridad-social-lde\referencias-derecho-a-la-seguridad-social\README.md,"README.md, bloque 1",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas.
10,plantilla editorial,sin hallazgos,0.0,0.0,,,,,,,,,,Sin ubicaciones detectadas,No se localizaron fragmentos por encima del umbral configurado. Conviene revisar el concepto o ampliar el corpus.
11,plantilla editorial verificable,sin hallazgos,0.0,0.0,,,,,,,,,,Sin ubicaciones detectadas,No se localizaron fragmentos por encima del umbral configurado. Conviene revisar el concepto o ampliar el corpus.
12,relevantes recientes,sin hallazgos,0.0,0.0,,,,,,,,,,Sin ubicaciones detectadas,No se localizaron fragmentos por encima del umbral configurado. Conviene revisar el concepto o ampliar el corpus.
13,seguridad social,media,0.2319,0.2319,README.md,md,bloque 1,1,0.2319,tfidf=0.1519; bonus=0.0800,"Referencias - Derecho a la seguridad social Carpeta para planeaciones, lecturas, notas, jurisprudencia, normas, casos, datos y evidencia auxiliar de la asignatura. Convenciones Registrar toda fuente final en ../derecho-a-la-seguridad-social.bib.",README_3fba96972d_b0001_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\derecho-a-la-seguridad-social-lde\referencias-derecho-a-la-seguridad-social\README.md,"README.md, bloque 1","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita."
14,seguridad social unadm,media,0.1719,0.1719,README.md,md,bloque 1,1,0.1719,tfidf=0.1519; bonus=0.0200,"Referencias - Derecho a la seguridad social Carpeta para planeaciones, lecturas, notas, jurisprudencia, normas, casos, datos y evidencia auxiliar de la asignatura. Convenciones Registrar toda fuente final en ../derecho-a-la-seguridad-social.bib.",README_3fba96972d_b0001_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\derecho-a-la-seguridad-social-lde\referencias-derecho-a-la-seguridad-social\README.md,"README.md, bloque 1","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita."
