ficha,concepto,calidad_ficha,mejor_similitud,similitud_promedio,fuente,tipo_fuente,ubicacion,pagina_o_bloque,similitud,detalle_similitud,cita_textual,fragmento_id,ruta_fuente,ubicaciones_agrupadas,observacion
1,contemporáneas ética,baja,0.104,0.053,Ética con los clásicos - Miguel Martínez Huerta.pdf,pdf,p. 112,112,0.104,tfidf=0.0840; bonus=0.0200,"26 ,, Etica personal y ética social Escribe Aranguren ( 1 975, 639): ""La ética, considerada en sí misma, es primariamente personal. Es cada hombre quien, des­ de dentro de la situación en que, en cada momento de su vida, se encuentre, ha de proyectar y decidir lo que va a hacer"".",tica_con_los_cl_sicos___Miguel_Mart_nez_Huerta_7c20311ee9_b0112_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\etica-y-moral-juridica-lde\referencias-etica-y-moral-juridica\libros-etica-y-moral-juridica\Ética con los clásicos - Miguel Martínez Huerta.pdf,"Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 153; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 154; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 245; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 25; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 28; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 71; Ética con los clásicos - Miguel Martínez Huerta.pdf, p. 112; Ética con los clásicos - Miguel Martínez Huerta.pdf, p. 15",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 7 referencia(s) de baja similitud que podrían introducir ruido.
1,contemporáneas ética,baja,0.104,0.053,Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf,pdf,p. 71,71,0.0513,tfidf=0.0413; bonus=0.0100,"Ética General y Profesional que consiste en la realización, (…), de una cierta actividad del alma (…), propia y distintiva del hombre”, concurrente hacia una ética de bienes, pues el bien supremo es la felicidad. No es muy útil tratar de separar la ética de Aristóteles en sus conceptos teleológicos y eudemonistas porque son convergentes hacia un punto común.",Etica_general_y_profesional___Dr__Luis_a__Ronquillo_armas_6fad0c9fcb_b0071_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\etica-y-moral-juridica-lde\referencias-etica-y-moral-juridica\libros-etica-y-moral-juridica\Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf,"Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 153; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 154; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 245; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 25; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 28; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 71; Ética con los clásicos - Miguel Martínez Huerta.pdf, p. 112; Ética con los clásicos - Miguel Martínez Huerta.pdf, p. 15",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 7 referencia(s) de baja similitud que podrían introducir ruido.
1,contemporáneas ética,baja,0.104,0.053,Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf,pdf,p. 154,154,0.0505,tfidf=0.0405; bonus=0.0100,"Luis A. Ronquillo Armas Estos presupuestos sostienen que “…toda ética material es concebida como ética de bienes y de fines”, “…que no puede tener valor más que en el plano empírico y sólo la ética formal puede afirmarse, independientemente de la experiencia”; y, “(…), que toda ética material sea considerada necesariamente heterónoma y sólo la ética formal puede asegurar la autonomía de la persona” (Fatone, 1969. p. 317).",Etica_general_y_profesional___Dr__Luis_a__Ronquillo_armas_6fad0c9fcb_b0154_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\etica-y-moral-juridica-lde\referencias-etica-y-moral-juridica\libros-etica-y-moral-juridica\Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf,"Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 153; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 154; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 245; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 25; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 28; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 71; Ética con los clásicos - Miguel Martínez Huerta.pdf, p. 112; Ética con los clásicos - Miguel Martínez Huerta.pdf, p. 15",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 7 referencia(s) de baja similitud que podrían introducir ruido.
1,contemporáneas ética,baja,0.104,0.053,Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf,pdf,p. 153,153,0.0457,tfidf=0.0357; bonus=0.0100,"Ética General y Profesional industrializados, a la explotación descontrolada de sus riquezas naturales, etc. El opresor induce al oprimido a practicar como valores: la sumisión, el conformismo, la resignación, mientras pretende justificar la moral impuesta, endosándole cualidades negativas que no le corresponden: haraganería, indisciplina, falta de patriotismo, incapacidad, negligencia, inmoralidad, etc.",Etica_general_y_profesional___Dr__Luis_a__Ronquillo_armas_6fad0c9fcb_b0153_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\etica-y-moral-juridica-lde\referencias-etica-y-moral-juridica\libros-etica-y-moral-juridica\Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf,"Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 153; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 154; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 245; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 25; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 28; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 71; Ética con los clásicos - Miguel Martínez Huerta.pdf, p. 112; Ética con los clásicos - Miguel Martínez Huerta.pdf, p. 15",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 7 referencia(s) de baja similitud que podrían introducir ruido.
1,contemporáneas ética,baja,0.104,0.053,Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf,pdf,p. 245,245,0.0457,tfidf=0.0357; bonus=0.0100,Ética General y Profesional Capítulo VIII. Relación del arquitecto con sus colaboradores.,Etica_general_y_profesional___Dr__Luis_a__Ronquillo_armas_6fad0c9fcb_b0245_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\etica-y-moral-juridica-lde\referencias-etica-y-moral-juridica\libros-etica-y-moral-juridica\Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf,"Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 153; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 154; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 245; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 25; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 28; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 71; Ética con los clásicos - Miguel Martínez Huerta.pdf, p. 112; Ética con los clásicos - Miguel Martínez Huerta.pdf, p. 15",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 7 referencia(s) de baja similitud que podrían introducir ruido.
1,contemporáneas ética,baja,0.104,0.053,Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf,pdf,p. 28,28,0.0455,tfidf=0.0355; bonus=0.0100,"Luis A. Ronquillo Armas La ética es teoría filosófica, una ciencia preocupada por la investigación de la conducta humana. Campo de la ética La ética realiza el estudio específico del comportamiento humano, que comprende la mayor parte de los actos cotidianos.",Etica_general_y_profesional___Dr__Luis_a__Ronquillo_armas_6fad0c9fcb_b0028_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\etica-y-moral-juridica-lde\referencias-etica-y-moral-juridica\libros-etica-y-moral-juridica\Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf,"Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 153; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 154; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 245; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 25; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 28; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 71; Ética con los clásicos - Miguel Martínez Huerta.pdf, p. 112; Ética con los clásicos - Miguel Martínez Huerta.pdf, p. 15",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 7 referencia(s) de baja similitud que podrían introducir ruido.
1,contemporáneas ética,baja,0.104,0.053,Ética con los clásicos - Miguel Martínez Huerta.pdf,pdf,p. 15,15,0.0408,tfidf=0.0308; bonus=0.0100,"2 "" Etica, filosofía y moral De acuerdo entonces con el pensamiento de Descartes, la ética es una parte de la filosofía y constituye ""el último grado de la sabiduría"". ¿Qué significa esto? ¿Qué quiso decir el pensador francés? ¿Por qué se dice que la ética es filosófica? La ética, ¿es lo mismo que la moral? ¿Cuál es la diferencia?",tica_con_los_cl_sicos___Miguel_Mart_nez_Huerta_7c20311ee9_b0015_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\etica-y-moral-juridica-lde\referencias-etica-y-moral-juridica\libros-etica-y-moral-juridica\Ética con los clásicos - Miguel Martínez Huerta.pdf,"Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 153; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 154; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 245; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 25; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 28; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 71; Ética con los clásicos - Miguel Martínez Huerta.pdf, p. 112; Ética con los clásicos - Miguel Martínez Huerta.pdf, p. 15",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 7 referencia(s) de baja similitud que podrían introducir ruido.
1,contemporáneas ética,baja,0.104,0.053,Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf,pdf,p. 25,25,0.0402,tfidf=0.0302; bonus=0.0100,"Hay autores que se identifican con la significación etimológica y plantean que ética sea definida como ciencia de las costumbres, ya que ética también se asocia con el latín “mos” o “moris” que quiere decir costumbre (s). Por razones de esta índole, con frecuencia se llama ética a la moral y viceversa.",Etica_general_y_profesional___Dr__Luis_a__Ronquillo_armas_6fad0c9fcb_b0025_f002,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\etica-y-moral-juridica-lde\referencias-etica-y-moral-juridica\libros-etica-y-moral-juridica\Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf,"Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 153; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 154; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 245; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 25; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 28; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 71; Ética con los clásicos - Miguel Martínez Huerta.pdf, p. 112; Ética con los clásicos - Miguel Martínez Huerta.pdf, p. 15",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 7 referencia(s) de baja similitud que podrían introducir ruido.
2,escuelas contemporáneas ética,baja,0.0842,0.0562,Ética con los clásicos - Miguel Martínez Huerta.pdf,pdf,p. 112,112,0.0842,tfidf=0.0642; bonus=0.0200,"26 ,, Etica personal y ética social Escribe Aranguren ( 1 975, 639): ""La ética, considerada en sí misma, es primariamente personal. Es cada hombre quien, des­ de dentro de la situación en que, en cada momento de su vida, se encuentre, ha de proyectar y decidir lo que va a hacer"".",tica_con_los_cl_sicos___Miguel_Mart_nez_Huerta_7c20311ee9_b0112_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\etica-y-moral-juridica-lde\referencias-etica-y-moral-juridica\libros-etica-y-moral-juridica\Ética con los clásicos - Miguel Martínez Huerta.pdf,"Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 15; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 153; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 154; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 71; Ética - Eduardo García Maynez.pdf, p. 130; Ética - Eduardo García Maynez.pdf, p. 36; Ética con los clásicos - Miguel Martínez Huerta.pdf, p. 106; Ética con los clásicos - Miguel Martínez Huerta.pdf, p. 112",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 6 referencia(s) de baja similitud que podrían introducir ruido.
2,escuelas contemporáneas ética,baja,0.0842,0.0562,Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf,pdf,p. 15,15,0.0834,tfidf=0.0634; bonus=0.0200,"En una época donde los vicios se los eleva a la categoría de costumbres, donde la ética es materia pendiente en el mundo desarrollado y subdesarrollado, en Escuelas, Colegios y Universidades, el libro que me honro en prologar enriquece no sólo el acervo bibliográfico de la Universidad, sino el espíritu y el intelecto de quiénes somos y nos sentimos parte de ello. Febrero 2/2010 Medardo Mora Solórzano Rector ULEAM 15",Etica_general_y_profesional___Dr__Luis_a__Ronquillo_armas_6fad0c9fcb_b0015_f002,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\etica-y-moral-juridica-lde\referencias-etica-y-moral-juridica\libros-etica-y-moral-juridica\Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf,"Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 15; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 153; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 154; Etica general y profesional - Dr. Luis a. Ronquillo armas.pdf, p. 71; Ética - Eduardo García Maynez.pdf, p. 130; Ética - Eduardo García Maynez.pdf, p. 36; Ética con los clásicos - Miguel Martínez Huerta.pdf, p. 106; Ética con los clásicos - Miguel Martínez Huerta.pdf, p. 112",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 6 referencia(s) de baja similitud que podrían introducir ruido.
