ficha,concepto,calidad_ficha,mejor_similitud,similitud_promedio,fuente,tipo_fuente,ubicacion,pagina_o_bloque,similitud,detalle_similitud,cita_textual,fragmento_id,ruta_fuente,ubicaciones_agrupadas,observacion
1,Derecho Natural,alta,0.4049,0.3148,"Manual práctico de fiParedes Lovón, Javier.pdf",pdf,p. 175,175,0.4049,tfidf=0.3249; bonus=0.0800,SAMUEL VON PUFENDORF Samuel von Pufendorf (1632-1696) ﬁlósofo y jurista alemán. Fundador del Ver- nuftrecht o Derecho natural racional33 (el derecho natural sin connotación reli- giosa). Construyó también una teoría contractual sobre la base de Hobbes.,Manual_pr_ctico_de_fiParedes_Lov_n__Javier_531de87414_b0175_f001,"..\..\UnADM\filosofia-del-derecho\referencias-filosofia-del-derecho\libros-filosofia-del-derecho\Manual práctico de fiParedes Lovón, Javier.pdf","Filosofia del derechorgilio Ruiz Rodriguez.pdf, p. 195; Filosofia del derechorgilio Ruiz Rodriguez.pdf, p. 199; LECCIONES DE TEORÍA D Benito de Castro Cid.pdf, p. 340; Manual práctico de fiParedes Lovón, Javier.pdf, p. 175; Manual práctico de fiParedes Lovón, Javier.pdf, p. 58; Teoría pura del derecho - Hans Kelsen (1).pdf, p. 238; Teoría pura del derecho - Hans Kelsen (1).pdf, p. 239",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
1,Derecho Natural,alta,0.4049,0.3148,Teoría pura del derecho - Hans Kelsen (1).pdf,pdf,p. 239,239,0.3521,tfidf=0.2721; bonus=0.0800,"Conforme a una doctrina iusnaturalista, sólo es “natural” la pro· piedad privada particular, mientras que para otra, sólo la propiedad colectiva; conforme a una~ sólo la democracia, mientras que para la otra lo “natural” es la autocracia, donde por “natural” se entiende justa. Todo derecho positivo que corresponde al derecho natural de una de esas doctrinas y que, por lo tanto, es juzgado justo, contradice al derecho natural de la otra, siendo en consecuencia, considerado injusto. La doctrina del derecho natural, cuando ha sido efectivamente desarrollada, no pudiendo desenvolverse de otro modo, está muy lejos de ofrecer el criterio firme que de ella se esperaba.",Teor_a_pura_del_derecho___Hans_Kelsen__1_8060c07753_b0239_f002,..\..\UnADM\filosofia-del-derecho\referencias-filosofia-del-derecho\libros-filosofia-del-derecho\Teoría pura del derecho - Hans Kelsen (1).pdf,"Filosofia del derechorgilio Ruiz Rodriguez.pdf, p. 195; Filosofia del derechorgilio Ruiz Rodriguez.pdf, p. 199; LECCIONES DE TEORÍA D Benito de Castro Cid.pdf, p. 340; Manual práctico de fiParedes Lovón, Javier.pdf, p. 175; Manual práctico de fiParedes Lovón, Javier.pdf, p. 58; Teoría pura del derecho - Hans Kelsen (1).pdf, p. 238; Teoría pura del derecho - Hans Kelsen (1).pdf, p. 239",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
1,Derecho Natural,alta,0.4049,0.3148,Teoría pura del derecho - Hans Kelsen (1).pdf,pdf,p. 238,238,0.3297,tfidf=0.2497; bonus=0.0800,"Z30 HANS KELSEN hace la teoría pura del derecho como teoría jurídica positivista-, eficaz en términos generales, como un orden normativo objetivamente válido. La posi. bilidad de un conflicto entre el derecho natural y el derecho positivo, esto es, entre el derecho natural y un orden coactivo eficaz, incluye la posibilidad de tener que considerar ese orden coactivo como carente de validez.",Teor_a_pura_del_derecho___Hans_Kelsen__1_8060c07753_b0238_f001,..\..\UnADM\filosofia-del-derecho\referencias-filosofia-del-derecho\libros-filosofia-del-derecho\Teoría pura del derecho - Hans Kelsen (1).pdf,"Filosofia del derechorgilio Ruiz Rodriguez.pdf, p. 195; Filosofia del derechorgilio Ruiz Rodriguez.pdf, p. 199; LECCIONES DE TEORÍA D Benito de Castro Cid.pdf, p. 340; Manual práctico de fiParedes Lovón, Javier.pdf, p. 175; Manual práctico de fiParedes Lovón, Javier.pdf, p. 58; Teoría pura del derecho - Hans Kelsen (1).pdf, p. 238; Teoría pura del derecho - Hans Kelsen (1).pdf, p. 239",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
1,Derecho Natural,alta,0.4049,0.3148,Filosofia del derechorgilio Ruiz Rodriguez.pdf,pdf,p. 195,195,0.2991,tfidf=0.2191; bonus=0.0800,"deración del derecho natural como ontología jurídica o teoría del derecho,702 basándose para ello en lo que escribe J. L.",Filosofia_del_derechorgilio_Ruiz_Rodriguez_41fdaf4ab1_b0195_f001,..\..\UnADM\filosofia-del-derecho\referencias-filosofia-del-derecho\libros-filosofia-del-derecho\Filosofia del derechorgilio Ruiz Rodriguez.pdf,"Filosofia del derechorgilio Ruiz Rodriguez.pdf, p. 195; Filosofia del derechorgilio Ruiz Rodriguez.pdf, p. 199; LECCIONES DE TEORÍA D Benito de Castro Cid.pdf, p. 340; Manual práctico de fiParedes Lovón, Javier.pdf, p. 175; Manual práctico de fiParedes Lovón, Javier.pdf, p. 58; Teoría pura del derecho - Hans Kelsen (1).pdf, p. 238; Teoría pura del derecho - Hans Kelsen (1).pdf, p. 239",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
1,Derecho Natural,alta,0.4049,0.3148,Filosofia del derechorgilio Ruiz Rodriguez.pdf,pdf,p. 199,199,0.2913,tfidf=0.2113; bonus=0.0800,"ley natural entendemos una ley que es conocida por las luces naturales de la razón como derivada de la naturaleza de las cosas, que procede de Dios como autor de la naturaleza y que dirige la actividad del hombre hacia su fin último, que consiste en la perfección de su naturaleza o la plenitud de su humanidad. Así la ley natural (o como se expresa más corrientemente, el derecho natural) puede definirse como una participación de la ley eterna en la criatura racional.721 J. M.",Filosofia_del_derechorgilio_Ruiz_Rodriguez_41fdaf4ab1_b0199_f001,..\..\UnADM\filosofia-del-derecho\referencias-filosofia-del-derecho\libros-filosofia-del-derecho\Filosofia del derechorgilio Ruiz Rodriguez.pdf,"Filosofia del derechorgilio Ruiz Rodriguez.pdf, p. 195; Filosofia del derechorgilio Ruiz Rodriguez.pdf, p. 199; LECCIONES DE TEORÍA D Benito de Castro Cid.pdf, p. 340; Manual práctico de fiParedes Lovón, Javier.pdf, p. 175; Manual práctico de fiParedes Lovón, Javier.pdf, p. 58; Teoría pura del derecho - Hans Kelsen (1).pdf, p. 238; Teoría pura del derecho - Hans Kelsen (1).pdf, p. 239",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
1,Derecho Natural,alta,0.4049,0.3148,LECCIONES DE TEORÍA D Benito de Castro Cid.pdf,pdf,p. 340,340,0.2835,tfidf=0.2035; bonus=0.0800,"cia lógica de la concepción de la ley natural como una participación de la ley eterna, cuyo autor es Dios. El derecho natural coexiste con el positivo, siendo necesarios el uno al otro; el positivo precisa del natural para obtener de él adecuado fundamento y el natural del positivo para concretarse y explicitarse a través de los pre- ceptos del mismo. El derecho natural tiene un carácter objetivo y normativo, esto es, no constituye un repertorio de principios axiológicos o éticos, sino que contie- ne auténticos preceptos; o, dicho de otro modo, es obligatorio y vigente, no meramente indicativo.",LECCIONES_DE_TEOR_A_D_Benito_de_Castro_Cid_60343f0a35_b0340_f001,..\..\UnADM\filosofia-del-derecho\referencias-filosofia-del-derecho\libros-filosofia-del-derecho\LECCIONES DE TEORÍA D Benito de Castro Cid.pdf,"Filosofia del derechorgilio Ruiz Rodriguez.pdf, p. 195; Filosofia del derechorgilio Ruiz Rodriguez.pdf, p. 199; LECCIONES DE TEORÍA D Benito de Castro Cid.pdf, p. 340; Manual práctico de fiParedes Lovón, Javier.pdf, p. 175; Manual práctico de fiParedes Lovón, Javier.pdf, p. 58; Teoría pura del derecho - Hans Kelsen (1).pdf, p. 238; Teoría pura del derecho - Hans Kelsen (1).pdf, p. 239",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
1,Derecho Natural,alta,0.4049,0.3148,Teoría pura del derecho - Hans Kelsen (1).pdf,pdf,p. 239,239,0.2803,tfidf=0.2003; bonus=0.0800,"En este sentido, también el derecho natural es un derecho impuesto, es decir, positivo; s610 que no se trata de un derecho establecido por una voluntad humana, sino por una volnntad sobrehumana. Una doctrina iusnaturalista puede, por cierto, sostener -aunque no podria demostrarlo- que la naturaleza ordena que los hombres deban comportarse de determinada manera.",Teor_a_pura_del_derecho___Hans_Kelsen__1_8060c07753_b0239_f003,..\..\UnADM\filosofia-del-derecho\referencias-filosofia-del-derecho\libros-filosofia-del-derecho\Teoría pura del derecho - Hans Kelsen (1).pdf,"Filosofia del derechorgilio Ruiz Rodriguez.pdf, p. 195; Filosofia del derechorgilio Ruiz Rodriguez.pdf, p. 199; LECCIONES DE TEORÍA D Benito de Castro Cid.pdf, p. 340; Manual práctico de fiParedes Lovón, Javier.pdf, p. 175; Manual práctico de fiParedes Lovón, Javier.pdf, p. 58; Teoría pura del derecho - Hans Kelsen (1).pdf, p. 238; Teoría pura del derecho - Hans Kelsen (1).pdf, p. 239",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
1,Derecho Natural,alta,0.4049,0.3148,"Manual práctico de fiParedes Lovón, Javier.pdf",pdf,p. 58,58,0.2778,tfidf=0.1978; bonus=0.0800,"Por lo tanto, la norma jurídica se constituye en la medida y deﬁnición de valores como la moral, la justicia, lo legal e ilegal, lo correcto o incorrecto. Diferencia entre el derecho natural y el derecho positivo El derecho natural y su base cristiana era el fundamento de la moral y la política del mundo occidental hasta el siglo XIX; en la actualidad el derecho po- sitivo (la norma del legislador) se ha impuesto en la sociedad y el derecho natural ha perdido toda relevancia práctica. Veamos un ejemplo: el matrimonio. ◾ Para el derecho natural, el matrimonio es la unión de hombre y mujer para formar una familia, cuyo ﬁn es la procreación y por lo tanto la pre- servación de la especie humana.",Manual_pr_ctico_de_fiParedes_Lov_n__Javier_531de87414_b0058_f001,"..\..\UnADM\filosofia-del-derecho\referencias-filosofia-del-derecho\libros-filosofia-del-derecho\Manual práctico de fiParedes Lovón, Javier.pdf","Filosofia del derechorgilio Ruiz Rodriguez.pdf, p. 195; Filosofia del derechorgilio Ruiz Rodriguez.pdf, p. 199; LECCIONES DE TEORÍA D Benito de Castro Cid.pdf, p. 340; Manual práctico de fiParedes Lovón, Javier.pdf, p. 175; Manual práctico de fiParedes Lovón, Javier.pdf, p. 58; Teoría pura del derecho - Hans Kelsen (1).pdf, p. 238; Teoría pura del derecho - Hans Kelsen (1).pdf, p. 239",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
2,Positivismo Jurídico,alta,0.2971,0.2389,"Razón y voluntad en eoig, Francisco Javier.pdf",pdf,p. 216,216,0.2971,tfidf=0.2171; bonus=0.0800,"El positivismo jurídico, y más específicamente el positivismo metodológico, supone la afir- mación de la irrelevancia del punto de vista moral como ele- mento determinante del reconocimiento jurídico del mismo. Así, la presencia de puntos de vista morales en el sistema no niega la validez de la aproximación positivista, desde el momento en que precisamente ésta propone que aquellos no sean tomados en consideración a la hora de la identificación y análisis del Derecho 390.",Raz_n_y_voluntad_en_eoig__Francisco_Javier_f3e525c802_b0216_f002,"..\..\UnADM\filosofia-del-derecho\referencias-filosofia-del-derecho\libros-filosofia-del-derecho\Razón y voluntad en eoig, Francisco Javier.pdf","Filosofia del derechorgilio Ruiz Rodriguez.pdf, p. 133; Filosofia del derechorgilio Ruiz Rodriguez.pdf, p. 84; LECCIONES DE TEORÍA D Benito de Castro Cid.pdf, p. 368; Razón y voluntad en eoig, Francisco Javier.pdf, p. 16; Razón y voluntad en eoig, Francisco Javier.pdf, p. 216; Razón y voluntad en eoig, Francisco Javier.pdf, p. 269; Razón y voluntad en eoig, Francisco Javier.pdf, p. 352",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
2,Positivismo Jurídico,alta,0.2971,0.2389,"Razón y voluntad en eoig, Francisco Javier.pdf",pdf,p. 352,352,0.2592,tfidf=0.1792; bonus=0.0800,"ANSUÁTEGUI ROIG, F. J., «¿Crisis del positivismo jurídico? Dos res- puestas italia nas: Zagrebelsky y Scarpelli» Derechos y Libertades, n.º 2, 1993-1994. — Poder, Ordenamiento jurídico, derechos, Dykinson, Madrid, 1997. — «Las definiciones del Estado de Derecho y los derechos funda- mentales», Sistema, n.º 158, 2000. — «Positivismo jurídico y sistemas mixtos», en RAMOS PASCUA, J.",Raz_n_y_voluntad_en_eoig__Francisco_Javier_f3e525c802_b0352_f001,"..\..\UnADM\filosofia-del-derecho\referencias-filosofia-del-derecho\libros-filosofia-del-derecho\Razón y voluntad en eoig, Francisco Javier.pdf","Filosofia del derechorgilio Ruiz Rodriguez.pdf, p. 133; Filosofia del derechorgilio Ruiz Rodriguez.pdf, p. 84; LECCIONES DE TEORÍA D Benito de Castro Cid.pdf, p. 368; Razón y voluntad en eoig, Francisco Javier.pdf, p. 16; Razón y voluntad en eoig, Francisco Javier.pdf, p. 216; Razón y voluntad en eoig, Francisco Javier.pdf, p. 269; Razón y voluntad en eoig, Francisco Javier.pdf, p. 352",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
