ficha,concepto,calidad_ficha,mejor_similitud,similitud_promedio,fuente,tipo_fuente,ubicacion,pagina_o_bloque,similitud,detalle_similitud,cita_textual,fragmento_id,ruta_fuente,ubicaciones_agrupadas,observacion
1,Garantías constitucionales,media,0.1975,0.0892,"Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf",pdf,p. 52,52,0.1975,tfidf=0.1575; bonus=0.0400,"Derechos humanos. Teorías y doctrinas a determinados sectores de la nobleza, se extiende a un mayor número de súbditos. • Representan el triunfo del Parlamento sobre la Corona, en adelante los demás poderes, incluido el poder regio deberá someterse a a ley sancionada por el Parlamento. • Reconocen una gama de garantías, entre las cuáles resaltan la garantía del Habeas Corpus. • La independencia del poder judicial se reconoce en procura de la protección de los derechos fundamentales.",Derechos_humanos__teorias_y_doc___Luis_Manuel_Marcano_Salazar_07b08ae700_b0052_f001,"C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\garantias-constitucionales-lde\referencias-garantias-constitucionales\libros-garantias-constitucionales\Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf","Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 28; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 62; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 85; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 88; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 114; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 52; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 53; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 64; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 66; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 90; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 92; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 13","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 10 referencia(s) de baja similitud que podrían introducir ruido."
1,Garantías constitucionales,media,0.1975,0.0892,Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf,pdf,p. 62,62,0.1694,tfidf=0.0894; bonus=0.0800,"¿CÓMO SE HICIERON LOS DERECHOS HUMANOS? 71 institucional"" (nombre que se daba a los decretos dictatoriales) n° 5, que estable- ció un sistema altamente represivo y suspendió las garantías constitucionales. El hecho de que el régimen brindase al país una cierta estabilidad económica (en relación con la situación previa), con crecimiento de la producción e indus- trialización (aunque con gran inflación y sin distribución social del incremen- to), llevó a una consideración ambigua de la dictadura (no exenta de férreos reivindicad ores), que se prolonga aún en algunos sectores.",Como_se_hicieron_los_Derechos_H___Ricardo_Rabinovich_Berkman_b617790f39_b0062_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\garantias-constitucionales-lde\referencias-garantias-constitucionales\libros-garantias-constitucionales\Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf,"Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 28; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 62; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 85; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 88; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 114; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 52; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 53; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 64; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 66; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 90; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 92; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 13","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 10 referencia(s) de baja similitud que podrían introducir ruido."
1,Garantías constitucionales,media,0.1975,0.0892,"Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf",pdf,p. 64,64,0.1545,tfidf=0.1145; bonus=0.0400,"3.- Temporalidad: Las garantías deben quedar suspendidas sólo por el tiempo estrictamente necesario para superar la emergencia. 4.- Respeto a la esencia de los derechos humanos: Existe un núcleo esencia de derechos cuyas garantías no pueden suspenderse bajo ninguna circunstancia. “(…) la lista de garantías no suspendibles más amplia es, probablemente, la contenida en el artículo 27 de la Convención Americana sobre Derechos Humanos, según la cual están fuera del ámbito de los estados de excepción los siguientes derechos:",Derechos_humanos__teorias_y_doc___Luis_Manuel_Marcano_Salazar_07b08ae700_b0064_f001,"C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\garantias-constitucionales-lde\referencias-garantias-constitucionales\libros-garantias-constitucionales\Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf","Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 28; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 62; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 85; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 88; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 114; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 52; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 53; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 64; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 66; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 90; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 92; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 13","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 10 referencia(s) de baja similitud que podrían introducir ruido."
1,Garantías constitucionales,media,0.1975,0.0892,"Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf",pdf,p. 64,64,0.1152,tfidf=0.1052; bonus=0.0100,Derechos humanos. Teorías y doctrinas 2.- Proporcionalidad: Implica que sólo cabe suspender aquellas garantías que guarden relación con las medidas excepcionales necesarias para atender la emergencia. 3.- Temporalidad: Las garantías deben quedar suspendidas sólo por el tiempo estrictamente necesario para superar la emergencia.,Derechos_humanos__teorias_y_doc___Luis_Manuel_Marcano_Salazar_07b08ae700_b0064_f001,"C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\garantias-constitucionales-lde\referencias-garantias-constitucionales\libros-garantias-constitucionales\Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf","Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 28; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 62; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 85; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 88; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 114; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 52; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 53; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 64; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 66; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 90; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 92; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 13","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 10 referencia(s) de baja similitud que podrían introducir ruido."
1,Garantías constitucionales,media,0.1975,0.0892,"Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf",pdf,p. 66,66,0.1002,tfidf=0.0602; bonus=0.0400,"Teorías y doctrinas en 1951 elaborar dos instrumentos que tipificaran los derechos civiles y políticos en un pacto y los derechos económicos, sociales y culturales en otro pacto. Existiendo, para aquel entonces una fuerte corriente doctrinaria que estimaba la reivindicación de los derechos civiles y políticos y su aplicación debía ser de forma inmediata, a diferencia de los derechos económicos, sociales y culturales debían ser implementados de manera progresiva; es decir se entró en una superada distinción de considerar que los derechos constitucionales son unos operativos y otros programáticos.",Derechos_humanos__teorias_y_doc___Luis_Manuel_Marcano_Salazar_07b08ae700_b0066_f001,"C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\garantias-constitucionales-lde\referencias-garantias-constitucionales\libros-garantias-constitucionales\Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf","Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 28; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 62; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 85; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 88; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 114; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 52; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 53; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 64; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 66; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 90; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 92; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 13","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 10 referencia(s) de baja similitud que podrían introducir ruido."
1,Garantías constitucionales,media,0.1975,0.0892,Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf,pdf,p. 88,88,0.0872,tfidf=0.0472; bonus=0.0400,"Estas últimas son, característicamente, las llamadas ""organizaciones no gubernamenta- les"" (ONG), que a menudo cumplen una importante misión de control y defensa de Jos derechos esenciales. El tercer párrafo trae el ""amparo informativo"", también llamado ¡tabeas data: ""Toda persona podrá interponer esta acción para tomar conocimiento de los datos a ella referidos y de su finalidad, que consten en registros o bancos de datos públicos, o los privados destinados a proveer informes, y en caso de falsedad o discriminación, para exigir la supresión, rectificación, confidencialidad o actualización de aquéllos. No podrá afectarse el secreto de las fuentes de información periodística"".",Como_se_hicieron_los_Derechos_H___Ricardo_Rabinovich_Berkman_b617790f39_b0088_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\garantias-constitucionales-lde\referencias-garantias-constitucionales\libros-garantias-constitucionales\Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf,"Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 28; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 62; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 85; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 88; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 114; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 52; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 53; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 64; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 66; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 90; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 92; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 13","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 10 referencia(s) de baja similitud que podrían introducir ruido."
1,Garantías constitucionales,media,0.1975,0.0892,Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf,pdf,p. 85,85,0.0843,tfidf=0.0443; bonus=0.0400,"Su art, 43, cuyo final, como viéramos, trae el habens corpus, dice, en su primer párrafo: ""Toda persona puede interponer acción expedita y rápida de amparo, siempre que no exista otro medio judicial más idóneo, contra todo acto u omisión de autoridades públicas o de particu- lares, que en forma actual o inminente lesione, restrinja, altere o amenace, con arbitrariedad o ilegalidad manifiesta, derechos y garantías reconocidos por esta Constitución, un tratado o una ley. En el caso, el juez podrá declarar la inconstitucionalidad de la norma en que se funde el acto u omisión lesiva"".",Como_se_hicieron_los_Derechos_H___Ricardo_Rabinovich_Berkman_b617790f39_b0085_f003,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\garantias-constitucionales-lde\referencias-garantias-constitucionales\libros-garantias-constitucionales\Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf,"Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 28; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 62; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 85; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 88; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 114; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 52; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 53; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 64; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 66; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 90; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 92; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 13","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 10 referencia(s) de baja similitud que podrían introducir ruido."
1,Garantías constitucionales,media,0.1975,0.0892,Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf,pdf,p. 85,85,0.0773,tfidf=0.0473; bonus=0.0300,"¿CÓMO SE HICIERON LOS DERECHOS HUMANOS? 95 (""que tengas el cuerpo"", en latín).",Como_se_hicieron_los_Derechos_H___Ricardo_Rabinovich_Berkman_b617790f39_b0085_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\garantias-constitucionales-lde\referencias-garantias-constitucionales\libros-garantias-constitucionales\Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf,"Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 28; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 62; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 85; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 88; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 114; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 52; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 53; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 64; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 66; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 90; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 92; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 13","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 10 referencia(s) de baja similitud que podrían introducir ruido."
1,Garantías constitucionales,media,0.1975,0.0892,Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf,pdf,p. 85,85,0.0768,tfidf=0.0468; bonus=0.0300,"Se utiliza fundamentalmente en aquellos casos en que se sabe o se cree con motivos que alguien ha sido privado de su libertad física en forma ilegal. En la Constitución Nacional-argentina, el habeos corpus apareció, introduci- do por la reforma de 1994, como una forma especial de la acción de amparo, a la que nos referiremos acto seguido. En realidad, es históricamente muy anterior al amparo.",Como_se_hicieron_los_Derechos_H___Ricardo_Rabinovich_Berkman_b617790f39_b0085_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\garantias-constitucionales-lde\referencias-garantias-constitucionales\libros-garantias-constitucionales\Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf,"Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 28; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 62; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 85; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 88; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 114; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 52; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 53; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 64; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 66; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 90; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 92; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 13","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 10 referencia(s) de baja similitud que podrían introducir ruido."
1,Garantías constitucionales,media,0.1975,0.0892,"Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf",pdf,p. 64,64,0.075,tfidf=0.0350; bonus=0.0400,"1. derecho a la vida; 2. derecho a la integridad personal; 3. la prohibición de esclavitud y servidumbre; 4. la prohibición de la discriminación; 5. el derecho a la personalidad jurídica; 6. el derecho a la nacionalidad; los derechos políticos; el principio de legalidad y no retroactividad; 7. la libertad de conciencia y religión; 8. la protección a la familia y los derechos del niño; 9. así como las garantías judiciales indispensables para la protección de tales derechos, entre los cuales deben considerarse incluidos el amparo y el hábeas corpus. (p.45) 2.3.6.5.- Son progresivos El desarrollo de la protección internacional de los derechos humanos, si bien ha sido paulatino, a medida que ha...",Derechos_humanos__teorias_y_doc___Luis_Manuel_Marcano_Salazar_07b08ae700_b0064_f002,"C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\garantias-constitucionales-lde\referencias-garantias-constitucionales\libros-garantias-constitucionales\Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf","Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 28; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 62; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 85; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 88; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 114; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 52; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 53; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 64; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 66; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 90; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 92; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 13","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 10 referencia(s) de baja similitud que podrían introducir ruido."
