ficha,concepto,calidad_ficha,mejor_similitud,similitud_promedio,fuente,tipo_fuente,ubicacion,pagina_o_bloque,similitud,detalle_similitud,cita_textual,fragmento_id,ruta_fuente,ubicaciones_agrupadas,observacion
1,Antecedentes históricos,media,0.1601,0.0954,"Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf",pdf,p. 34,34,0.1601,tfidf=0.1201; bonus=0.0400,"Teorías y doctrinas Capitulo II Definición, evolución y trascendencia de los derechos humanos Se estima conveniente realizar un esbozo acerca de los derechos humanos; su definición, fundamento, historicidad, variables que los caracterizan clasificación; a fin de imbricarlos como prolegómenos hacia la concepción de los derechos humanos desde una perspectiva transgeneracional. “Si bien todos los derechos son «humanos», en cuanto sólo el hombre es sujeto de derecho, la evolución de las ciencias jurídicas ha dado lugar a una categoría de derechos denominada «humanos», también conocidos como derechos del hombre, derechos naturales, derechos innatos, derechos originarios, derechos...",Derechos_humanos__teorias_y_doc___Luis_Manuel_Marcano_Salazar_07b08ae700_b0034_f001,"C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\garantias-constitucionales-lde\referencias-garantias-constitucionales\libros-garantias-constitucionales\Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf","Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 14; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 145; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 167; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 238; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 253; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 259; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 278; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 114; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 22; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 34; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 49; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 52; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 78; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 82; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 89; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 92; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 13; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 26; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 27; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 29","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 7 referencia(s) de baja similitud que podrían introducir ruido."
1,Antecedentes históricos,media,0.1601,0.0954,Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf,pdf,p. 13,13,0.1477,tfidf=0.1077; bonus=0.0400,"El desarrollo de la nueva nación llevó más tarde a la proclamación de la Carta de Derechos estadounidense (Bill of Rights) de 1791, en la que se incorporaron otros derechos individuales como: la libertad de expresión, de asamblea, de culto religioso, de formular peticiones al gobierno en caso de agravios, a no padecer castigos crueles, a no sufrir investigaciones e incautaciones irrazonables, a tener garantiza- dos procesos justos, rápidos y con un jurado imparcial.",Los_derechos_humanos_en_Mexico___Emilio_Alvarez_Icaza_Longoria_ec6c903dec_b0013_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\garantias-constitucionales-lde\referencias-garantias-constitucionales\libros-garantias-constitucionales\Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf,"Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 14; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 145; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 167; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 238; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 253; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 259; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 278; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 114; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 22; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 34; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 49; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 52; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 78; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 82; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 89; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 92; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 13; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 26; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 27; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 29","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 7 referencia(s) de baja similitud que podrían introducir ruido."
1,Antecedentes históricos,media,0.1601,0.0954,"Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf",pdf,p. 89,89,0.1354,tfidf=0.0954; bonus=0.0400,"• Declaración Americana de los Derechos Deberes del Hombre • Convención Americana sobre Derechos Humanos • Carta de la OEA • Protocolo a la Convención Americana sobre Derechos Humanos relativo a la Abolición de la Pena de Muerte • Convención Interamericana para Prevenir y Sancionar la Tortura • Convención Interamericana sobre Desaparición Forzada de Personas • Protocolo Adicional a la Convención Americana sobre Derechos Humanos en Materia de Derechos Económicos, Sociales y Culturales “Protocolo de San Salvador” • Convención Interamericana para la Eliminación de todas las Formas de Discriminación contra las Personas con Discapacidad • Estatuto de la Comisión Interamericana de Derechos...",Derechos_humanos__teorias_y_doc___Luis_Manuel_Marcano_Salazar_07b08ae700_b0089_f002,"C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\garantias-constitucionales-lde\referencias-garantias-constitucionales\libros-garantias-constitucionales\Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf","Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 14; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 145; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 167; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 238; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 253; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 259; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 278; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 114; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 22; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 34; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 49; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 52; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 78; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 82; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 89; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 92; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 13; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 26; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 27; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 29","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 7 referencia(s) de baja similitud que podrían introducir ruido."
1,Antecedentes históricos,media,0.1601,0.0954,Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf,pdf,p. 145,145,0.1284,tfidf=0.0884; bonus=0.0400,"Pero, aun así, ""más allá de todas las di- ferencias socio-culturales y filosóficas entre los pueblos, parecen estar la nece- sidad y la expectativa de la dignidad humana entre todas las civilizaciones"". Por ejemplo, la Declaración Universal deí Genoma Humano y los Derechos Humanos (UNESCO, 1997) y la Convención Europea de Derechos Humanos y Biomedicina confieren a la noción de dignidad humana un sitio central. Ya la Declaración Universal de 1948 proclamaba en su preámbulo la ""dignidad inherente a todos los miembros de la familia humana"".",Como_se_hicieron_los_Derechos_H___Ricardo_Rabinovich_Berkman_b617790f39_b0145_f002,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\garantias-constitucionales-lde\referencias-garantias-constitucionales\libros-garantias-constitucionales\Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf,"Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 14; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 145; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 167; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 238; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 253; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 259; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 278; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 114; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 22; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 34; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 49; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 52; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 78; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 82; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 89; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 92; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 13; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 26; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 27; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 29","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 7 referencia(s) de baja similitud que podrían introducir ruido."
1,Antecedentes históricos,media,0.1601,0.0954,Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf,pdf,p. 26,26,0.1277,tfidf=0.0877; bonus=0.0400,"Por un lado, se ana- lizan los sistemas internacional y regionales, así como los principales instrumentos de defensa y protección de los derechos humanos en cada uno de ellos. Por otro, se presenta la historia, características y funcionamiento del sistema Ombudsman, y se aborda el trabajo que realizan algunas osc para la defensa de los derechos humanos a nivel internacional.",Los_derechos_humanos_en_Mexico___Emilio_Alvarez_Icaza_Longoria_ec6c903dec_b0026_f002,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\garantias-constitucionales-lde\referencias-garantias-constitucionales\libros-garantias-constitucionales\Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf,"Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 14; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 145; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 167; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 238; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 253; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 259; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 278; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 114; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 22; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 34; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 49; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 52; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 78; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 82; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 89; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 92; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 13; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 26; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 27; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 29","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 7 referencia(s) de baja similitud que podrían introducir ruido."
1,Antecedentes históricos,media,0.1601,0.0954,Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf,pdf,p. 27,27,0.125,tfidf=0.0850; bonus=0.0400,"La Declaración Universal de los Derechos Humanos es el prin- cipal documento de la onu y la base jurídica del siglo xx en materia de derechos humanos. Fue aprobada y proclamada el 10 de diciem- bre de 1948 por la Asamblea General de las Naciones Unidas y, a través de sus 30 artículos, establece los derechos civiles y políticos, así como los económicos, sociales y culturales de que son titulares todas las personas.",Los_derechos_humanos_en_Mexico___Emilio_Alvarez_Icaza_Longoria_ec6c903dec_b0027_f002,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\garantias-constitucionales-lde\referencias-garantias-constitucionales\libros-garantias-constitucionales\Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf,"Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 14; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 145; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 167; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 238; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 253; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 259; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 278; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 114; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 22; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 34; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 49; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 52; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 78; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 82; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 89; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 92; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 13; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 26; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 27; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 29","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 7 referencia(s) de baja similitud que podrían introducir ruido."
1,Antecedentes históricos,media,0.1601,0.0954,Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf,pdf,p. 278,278,0.1228,tfidf=0.0828; bonus=0.0400,¿CÓMO SE HICIERON LOS DERECHOS HUMANOS? 289 §6.,Como_se_hicieron_los_Derechos_H___Ricardo_Rabinovich_Berkman_b617790f39_b0278_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\garantias-constitucionales-lde\referencias-garantias-constitucionales\libros-garantias-constitucionales\Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf,"Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 14; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 145; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 167; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 238; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 253; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 259; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 278; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 114; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 22; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 34; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 49; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 52; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 78; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 82; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 89; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 92; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 13; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 26; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 27; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 29","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 7 referencia(s) de baja similitud que podrían introducir ruido."
1,Antecedentes históricos,media,0.1601,0.0954,Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf,pdf,p. 14,14,0.1133,tfidf=0.0733; bonus=0.0400,"Para terminar, el capítulo X trata del surgimiento del antisemitismo y de la gradual composición de un cuadro de graves violaciones a derechos pau- tados en la intolerancia. Todo el tiempo, con maestría, densidad y competencia,- el profesor Ricardo invita al lector o lectora a esta travesía, marcada por avances y retrocesos, en el proceso de construcción histórica de los derechos de las personas.",Como_se_hicieron_los_Derechos_H___Ricardo_Rabinovich_Berkman_b617790f39_b0014_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\garantias-constitucionales-lde\referencias-garantias-constitucionales\libros-garantias-constitucionales\Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf,"Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 14; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 145; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 167; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 238; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 253; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 259; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 278; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 114; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 22; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 34; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 49; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 52; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 78; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 82; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 89; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 92; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 13; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 26; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 27; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 29","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 7 referencia(s) de baja similitud que podrían introducir ruido."
1,Antecedentes históricos,media,0.1601,0.0954,"Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf",pdf,p. 52,52,0.1084,tfidf=0.0784; bonus=0.0300,"Derechos humanos. Teorías y doctrinas a determinados sectores de la nobleza, se extiende a un mayor número de súbditos. • Representan el triunfo del Parlamento sobre la Corona, en adelante los demás poderes, incluido el poder regio deberá someterse a a ley sancionada por el Parlamento. • Reconocen una gama de garantías, entre las cuáles resaltan la garantía del Habeas Corpus. • La independencia del poder judicial se reconoce en procura de la protección de los derechos fundamentales.",Derechos_humanos__teorias_y_doc___Luis_Manuel_Marcano_Salazar_07b08ae700_b0052_f001,"C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\garantias-constitucionales-lde\referencias-garantias-constitucionales\libros-garantias-constitucionales\Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf","Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 14; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 145; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 167; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 238; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 253; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 259; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 278; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 114; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 22; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 34; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 49; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 52; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 78; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 82; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 89; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 92; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 13; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 26; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 27; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 29","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 7 referencia(s) de baja similitud que podrían introducir ruido."
1,Antecedentes históricos,media,0.1601,0.0954,Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf,pdf,p. 29,29,0.0978,tfidf=0.0678; bonus=0.0300,"Dichos mecanismos de supervisión incluyen: los órganos basa- dos en la Carta de la onu y los órganos creados en virtud de tratados internacionales de derechos humanos. Aquéllos que están basados en la Carta de las Naciones Unidas incluyen: la antigua Comisión de Derechos Humanos, el Consejo de Derechos Humanos y los Procedimientos Especiales. Por su parte, los órganos emanados de distintos tratados son:",Los_derechos_humanos_en_Mexico___Emilio_Alvarez_Icaza_Longoria_ec6c903dec_b0029_f002,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\garantias-constitucionales-lde\referencias-garantias-constitucionales\libros-garantias-constitucionales\Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf,"Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 14; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 145; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 167; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 238; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 253; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 259; Como se hicieron los Derechos H - Ricardo Rabinovich Berkman.pdf, p. 278; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 114; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 22; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 34; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 49; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 52; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 78; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 82; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 89; Derechos humanos, teorias y doc - Luis Manuel Marcano Salazar.pdf, p. 92; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 13; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 26; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 27; Los derechos humanos en Mexico - Emilio Alvarez Icaza Longoria.pdf, p. 29","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 7 referencia(s) de baja similitud que podrían introducir ruido."
