ficha,concepto,calidad_ficha,mejor_similitud,similitud_promedio,fuente,tipo_fuente,ubicacion,pagina_o_bloque,similitud,detalle_similitud,cita_textual,fragmento_id,ruta_fuente,ubicaciones_agrupadas,observacion
1,despacho jurídico,media,0.1947,0.1258,Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf,pdf,p. 77,77,0.1947,tfidf=0.1847; bonus=0.0100,"En oposición a la teoría monista, el pluralismo jurídico acerca al Es- tado moderno a un sistema jurídico más apegado a la realidad social, en la que existen diversas comunidades y culturas que deben considerarse con el mismo respeto y reconocimien to que el ordenamien to jurídico estatal sugiere para sus habitantes.206 El concepto de pluralismo jurídico ha evolucionado y, en la actualidad, considera al derecho como un universo policéntrico de fuentes de normas, o de diversas formas de derecho, interconectadas o superpuestas (interle- galidad), que se pueden abordar de conformidad con su escala, proyección o simbología.207 En el nivel jurisprudencial, la SCJN ha sostenido que el pluralismo...",Protocolo_para_Juzgar_con_Persp___Suprema_Corte_de_Justicia_de_la_5841573c26_b0077_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\interaprendizaje-en-ambientes-virtuales-lde\referencias-interaprendizaje-en-ambientes-virtuales\libros--interaprendizaje-en-ambientes-virtuales\Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf,"Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 179; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 180; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 188; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 298; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 33; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 77; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 78; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 83","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
1,despacho jurídico,media,0.1947,0.1258,Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf,pdf,p. 180,180,0.1333,tfidf=0.1233; bonus=0.0100,"Factor objetivo3 Factor objetivo ¿De quién es el interés de proteger el bien jurídico afectado? Supuesto 2: El bien jurídico lesionado, o su titular, pertenecen exclusivamente Supuesto 1: El bien jurídico afectado, o su titular, pertenecen únicamente a Supuesto 3: El bien jurídico afectado concierne tanto a la comunidad indígena como a la cultura mayoritaria. a la cultura mayoritaria o del una comunidad indígena.",Protocolo_para_Juzgar_con_Persp___Suprema_Corte_de_Justicia_de_la_5841573c26_b0180_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\interaprendizaje-en-ambientes-virtuales-lde\referencias-interaprendizaje-en-ambientes-virtuales\libros--interaprendizaje-en-ambientes-virtuales\Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf,"Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 179; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 180; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 188; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 298; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 33; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 77; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 78; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 83","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
1,despacho jurídico,media,0.1947,0.1258,Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf,pdf,p. 179,179,0.1331,tfidf=0.1231; bonus=0.0100,"• Factor objetivo Consiste en determinar si el bien jurídico presuntamente afectado tiene que ver con un interés de la comunidad indígena o de sus integrantes, o bien, con la sociedad no indígena o sus integrantes. Dicho de otro modo, se debe evaluar si el interés del proceso es de la comunidad indígena, o bien, si lo es de la cultura no indígena.",Protocolo_para_Juzgar_con_Persp___Suprema_Corte_de_Justicia_de_la_5841573c26_b0179_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\interaprendizaje-en-ambientes-virtuales-lde\referencias-interaprendizaje-en-ambientes-virtuales\libros--interaprendizaje-en-ambientes-virtuales\Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf,"Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 179; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 180; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 188; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 298; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 33; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 77; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 78; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 83","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
1,despacho jurídico,media,0.1947,0.1258,Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf,pdf,p. 78,78,0.1286,tfidf=0.1186; bonus=0.0100,"29. 210 Martínez, Juan C., “Bases para la resolución de los casos”, en Elementos y técnicas de plu­ ralismo jurídico. Manual de operadores de justicia, p.",Protocolo_para_Juzgar_con_Persp___Suprema_Corte_de_Justicia_de_la_5841573c26_b0078_f002,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\interaprendizaje-en-ambientes-virtuales-lde\referencias-interaprendizaje-en-ambientes-virtuales\libros--interaprendizaje-en-ambientes-virtuales\Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf,"Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 179; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 180; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 188; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 298; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 33; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 77; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 78; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 83","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
1,despacho jurídico,media,0.1947,0.1258,Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf,pdf,p. 298,298,0.1221,tfidf=0.1121; bonus=0.0100,"Para armonizar las normas indígenas y los dere- chos humanos se deben hacer interpretaciones contextualizadas de los valores que salvaguardan los derechos humanos y aquellos que son protegidos por las normas indígenas. […] En todo caso, la idea difundida de que los sistemas normativos indí- genas son, a priori, violatorios de los derechos humanos suele ser un prejuicio discriminatorio que no parte del análisis jurídico pondera- do, sino de casos aislados en comunidades especíﬁcas.963 962 Ibid., párr. 88.",Protocolo_para_Juzgar_con_Persp___Suprema_Corte_de_Justicia_de_la_5841573c26_b0298_f002,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\interaprendizaje-en-ambientes-virtuales-lde\referencias-interaprendizaje-en-ambientes-virtuales\libros--interaprendizaje-en-ambientes-virtuales\Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf,"Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 179; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 180; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 188; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 298; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 33; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 77; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 78; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 83","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
1,despacho jurídico,media,0.1947,0.1258,Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf,pdf,p. 83,83,0.1017,tfidf=0.0917; bonus=0.0100,"Sucesos en torno al pluralismo jurídico en Guatemala, un país mayoritariamente indígena”, en Hacia sistemas jurídicos plurales. Reflexiones y experiencias de coordinación entre el derecho estatal y el derecho indígena, p.",Protocolo_para_Juzgar_con_Persp___Suprema_Corte_de_Justicia_de_la_5841573c26_b0083_f003,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\interaprendizaje-en-ambientes-virtuales-lde\referencias-interaprendizaje-en-ambientes-virtuales\libros--interaprendizaje-en-ambientes-virtuales\Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf,"Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 179; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 180; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 188; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 298; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 33; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 77; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 78; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 83","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
1,despacho jurídico,media,0.1947,0.1258,Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf,pdf,p. 188,188,0.0977,tfidf=0.0877; bonus=0.0100,"En todo caso, la idea difundida de que los sistemas normativos indí- genas son, a priori, violatorios de los derechos humanos suele ser un prejuicio discriminatorio que no parte del análisis jurídico pondera- do, sino de casos aislados en comunidades especíﬁcas.587 En ese sentido, la SCJN ha sostenido que debe adoptarse una pers- pectiva que fomente el diálogo entre sistemas normativos, acepte la multi- culturalidad como una realidad en México y garantice el acceso a la justicia en condiciones de igualdad y autonomía de las personas, pueblos y comu- nidades indígenas, sin imponer arbitrariamente una visión determinada del mundo que atente contra la igualdad entre las culturas y la...",Protocolo_para_Juzgar_con_Persp___Suprema_Corte_de_Justicia_de_la_5841573c26_b0188_f002,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\interaprendizaje-en-ambientes-virtuales-lde\referencias-interaprendizaje-en-ambientes-virtuales\libros--interaprendizaje-en-ambientes-virtuales\Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf,"Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 179; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 180; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 188; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 298; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 33; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 77; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 78; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 83","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
1,despacho jurídico,media,0.1947,0.1258,Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf,pdf,p. 33,33,0.0954,tfidf=0.0854; bonus=0.0100,"Finalmente, es importante precisar que las disposiciones constitucio- nales aludidas parten de reconocer que las personas, pueblos y comunidades indígenas se ven afectadas por un contexto de desigualdad y discrimina- ción y, por ende, los derechos básicos reconocidos a toda persona no son suficientes para su adecuado desarrollo individual y colectivo. En ese sen- tido, es necesario reforzar las medidas para lograr la igualdad, para lo que es indispensable reconocer las situaciones y características que identifican y dan sentido a las colectividades indígenas y a sus integrantes.26 23 Martínez, Juan C., “El bloque intercultural jurídico.",Protocolo_para_Juzgar_con_Persp___Suprema_Corte_de_Justicia_de_la_5841573c26_b0033_f002,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\interaprendizaje-en-ambientes-virtuales-lde\referencias-interaprendizaje-en-ambientes-virtuales\libros--interaprendizaje-en-ambientes-virtuales\Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf,"Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 179; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 180; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 188; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 298; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 33; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 77; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 78; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 83","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
2,despacho jurídico digital,baja,0.1124,0.0806,Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf,pdf,p. 77,77,0.1124,tfidf=0.1024; bonus=0.0100,"En oposición a la teoría monista, el pluralismo jurídico acerca al Es- tado moderno a un sistema jurídico más apegado a la realidad social, en la que existen diversas comunidades y culturas que deben considerarse con el mismo respeto y reconocimien to que el ordenamien to jurídico estatal sugiere para sus habitantes.206 El concepto de pluralismo jurídico ha evolucionado y, en la actualidad, considera al derecho como un universo policéntrico de fuentes de normas, o de diversas formas de derecho, interconectadas o superpuestas (interle- galidad), que se pueden abordar de conformidad con su escala, proyección o simbología.207 En el nivel jurisprudencial, la SCJN ha sostenido que el pluralismo...",Protocolo_para_Juzgar_con_Persp___Suprema_Corte_de_Justicia_de_la_5841573c26_b0077_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\interaprendizaje-en-ambientes-virtuales-lde\referencias-interaprendizaje-en-ambientes-virtuales\libros--interaprendizaje-en-ambientes-virtuales\Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf,"Metodologias activas en el inte - Rosa Ines Silva Zambrano.pdf, p. 50; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 17; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 179; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 180; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 298; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 77; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 78; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 83",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 6 referencia(s) de baja similitud que podrían introducir ruido.
2,despacho jurídico digital,baja,0.1124,0.0806,Metodologias activas en el inte - Rosa Ines Silva Zambrano.pdf,pdf,p. 50,50,0.0941,tfidf=0.0841; bonus=0.0100,"Debe preocuparse por la formación de los diferentes ciudadanos y la incorporación de las tecnologías ha de hacerse con la perspectiva de beneficiar los aprendizajes y suministrar los medios que respaldan el desarrollo de los conocimientos y de las competencias necesarias para la implantación social y profesional. Debe también de evitarse que la brecha digital forme capas de alejamiento o marginación como resultado del analfabetismo digital (Baro, 2011) Las nuevas tecnologías dan dirección a un gran conjunto de información, que no ha de confundirse con el saber. Para que la información se solidifique en las sapiencias, el individuo debe",Metodologias_activas_en_el_inte___Rosa_Ines_Silva_Zambrano_e7e2e359a4_b0050_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\interaprendizaje-en-ambientes-virtuales-lde\referencias-interaprendizaje-en-ambientes-virtuales\libros--interaprendizaje-en-ambientes-virtuales\Metodologias activas en el inte - Rosa Ines Silva Zambrano.pdf,"Metodologias activas en el inte - Rosa Ines Silva Zambrano.pdf, p. 50; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 17; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 179; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 180; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 298; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 77; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 78; Protocolo para Juzgar con Persp - Suprema Corte de Justicia de la.pdf, p. 83",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 6 referencia(s) de baja similitud que podrían introducir ruido.
