ficha,concepto,calidad_ficha,mejor_similitud,similitud_promedio,fuente,tipo_fuente,ubicacion,pagina_o_bloque,similitud,detalle_similitud,cita_textual,fragmento_id,ruta_fuente,ubicaciones_agrupadas,observacion
1,constitución,media,0.199,0.1819,Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf,pdf,p. 230,230,0.199,tfidf=0.1290; bonus=0.0700,"CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS CÁMARA DE DIPUTADOS DEL H. CONGRESO DE LA UNIÓN Secretaría General Secretaría de Servicios Parlamentarios Últimas Reformas DOF 02-06-2026 DECRETO por el que se reforman los artículos 29, 73, 90, 92, 93, 95, 110 y 111 de la Constitución Política de los Estados Unidos Mexicanos.",Constitucion_Politica_de_los_Estados_Unidos_Mexicanos___Camara_de_Diputados___2026_370529d138_b0230_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\interaprendizaje-en-ambientes-virtuales-lde\referencias-interaprendizaje-en-ambientes-virtuales\libros--interaprendizaje-en-ambientes-virtuales\Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf,"Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 143; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 220; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 230; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 236; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 258; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 265; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 34; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 57","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
1,constitución,media,0.199,0.1819,Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf,pdf,p. 220,220,0.1886,tfidf=0.1186; bonus=0.0700,CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS CÁMARA DE DIPUTADOS DEL H. CONGRESO DE LA UNIÓN Secretaría General Secretaría de Servicios Parlamentarios Últimas Reformas DOF 02-06-2026 DECRETO por el que se declaran reformados los artículos 26 y 73 fracción XXIX-D de la Constitución Política de los Estados Unidos Mexicanos.,Constitucion_Politica_de_los_Estados_Unidos_Mexicanos___Camara_de_Diputados___2026_370529d138_b0220_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\interaprendizaje-en-ambientes-virtuales-lde\referencias-interaprendizaje-en-ambientes-virtuales\libros--interaprendizaje-en-ambientes-virtuales\Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf,"Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 143; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 220; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 230; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 236; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 258; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 265; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 34; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 57","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
1,constitución,media,0.199,0.1819,Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf,pdf,p. 34,34,0.1818,tfidf=0.1118; bonus=0.0700,CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS CÁMARA DE DIPUTADOS DEL H. CONGRESO DE LA UNIÓN Secretaría General Secretaría de Servicios Parlamentarios Últimas Reformas DOF 02-06-2026,Constitucion_Politica_de_los_Estados_Unidos_Mexicanos___Camara_de_Diputados___2026_370529d138_b0034_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\interaprendizaje-en-ambientes-virtuales-lde\referencias-interaprendizaje-en-ambientes-virtuales\libros--interaprendizaje-en-ambientes-virtuales\Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf,"Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 143; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 220; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 230; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 236; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 258; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 265; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 34; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 57","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
1,constitución,media,0.199,0.1819,Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf,pdf,p. 57,57,0.1818,tfidf=0.1118; bonus=0.0700,CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS CÁMARA DE DIPUTADOS DEL H. CONGRESO DE LA UNIÓN Secretaría General Secretaría de Servicios Parlamentarios Últimas Reformas DOF 02-06-2026,Constitucion_Politica_de_los_Estados_Unidos_Mexicanos___Camara_de_Diputados___2026_370529d138_b0057_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\interaprendizaje-en-ambientes-virtuales-lde\referencias-interaprendizaje-en-ambientes-virtuales\libros--interaprendizaje-en-ambientes-virtuales\Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf,"Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 143; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 220; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 230; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 236; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 258; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 265; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 34; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 57","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
1,constitución,media,0.199,0.1819,Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf,pdf,p. 258,258,0.179,tfidf=0.1090; bonus=0.0700,"CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS CÁMARA DE DIPUTADOS DEL H. CONGRESO DE LA UNIÓN Secretaría General Secretaría de Servicios Parlamentarios Últimas Reformas DOF 02-06-2026 DECRETO por el que se reforman los artículos 71, 72 y 78 de la Constitución Política de los Estados Unidos Mexicanos.",Constitucion_Politica_de_los_Estados_Unidos_Mexicanos___Camara_de_Diputados___2026_370529d138_b0258_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\interaprendizaje-en-ambientes-virtuales-lde\referencias-interaprendizaje-en-ambientes-virtuales\libros--interaprendizaje-en-ambientes-virtuales\Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf,"Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 143; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 220; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 230; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 236; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 258; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 265; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 34; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 57","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
1,constitución,media,0.199,0.1819,Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf,pdf,p. 236,236,0.1781,tfidf=0.1081; bonus=0.0700,"CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS CÁMARA DE DIPUTADOS DEL H. CONGRESO DE LA UNIÓN Secretaría General Secretaría de Servicios Parlamentarios Últimas Reformas DOF 02-06-2026 DECRETO que reforma, adiciona y deroga diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos.",Constitucion_Politica_de_los_Estados_Unidos_Mexicanos___Camara_de_Diputados___2026_370529d138_b0236_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\interaprendizaje-en-ambientes-virtuales-lde\referencias-interaprendizaje-en-ambientes-virtuales\libros--interaprendizaje-en-ambientes-virtuales\Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf,"Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 143; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 220; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 230; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 236; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 258; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 265; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 34; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 57","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
1,constitución,media,0.199,0.1819,Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf,pdf,p. 265,265,0.1752,tfidf=0.1052; bonus=0.0700,"CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS CÁMARA DE DIPUTADOS DEL H. CONGRESO DE LA UNIÓN Secretaría General Secretaría de Servicios Parlamentarios Últimas Reformas DOF 02-06-2026 DECRETO por el que se reforman y adicionan diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos, en materia política.",Constitucion_Politica_de_los_Estados_Unidos_Mexicanos___Camara_de_Diputados___2026_370529d138_b0265_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\interaprendizaje-en-ambientes-virtuales-lde\referencias-interaprendizaje-en-ambientes-virtuales\libros--interaprendizaje-en-ambientes-virtuales\Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf,"Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 143; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 220; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 230; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 236; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 258; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 265; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 34; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 57","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
1,constitución,media,0.199,0.1819,Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf,pdf,p. 143,143,0.1719,tfidf=0.1019; bonus=0.0700,CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS CÁMARA DE DIPUTADOS DEL H. CONGRESO DE LA UNIÓN Secretaría General Secretaría de Servicios Parlamentarios Últimas Reformas DOF 02-06-2026 X.,Constitucion_Politica_de_los_Estados_Unidos_Mexicanos___Camara_de_Diputados___2026_370529d138_b0143_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\interaprendizaje-en-ambientes-virtuales-lde\referencias-interaprendizaje-en-ambientes-virtuales\libros--interaprendizaje-en-ambientes-virtuales\Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf,"Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 143; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 220; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 230; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 236; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 258; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 265; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 34; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 57","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
2,estados unidos,alta,0.3231,0.2862,Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf,pdf,p. 230,230,0.3231,tfidf=0.2431; bonus=0.0800,"CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS CÁMARA DE DIPUTADOS DEL H. CONGRESO DE LA UNIÓN Secretaría General Secretaría de Servicios Parlamentarios Últimas Reformas DOF 02-06-2026 DECRETO por el que se reforman los artículos 29, 73, 90, 92, 93, 95, 110 y 111 de la Constitución Política de los Estados Unidos Mexicanos.",Constitucion_Politica_de_los_Estados_Unidos_Mexicanos___Camara_de_Diputados___2026_370529d138_b0230_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\interaprendizaje-en-ambientes-virtuales-lde\referencias-interaprendizaje-en-ambientes-virtuales\libros--interaprendizaje-en-ambientes-virtuales\Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf,"Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 230; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 236; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 258; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 265; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 297; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 300; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 34; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 57",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon varias referencias dentro de la misma fuente.
2,estados unidos,alta,0.3231,0.2862,Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf,pdf,p. 34,34,0.2907,tfidf=0.2107; bonus=0.0800,CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS CÁMARA DE DIPUTADOS DEL H. CONGRESO DE LA UNIÓN Secretaría General Secretaría de Servicios Parlamentarios Últimas Reformas DOF 02-06-2026,Constitucion_Politica_de_los_Estados_Unidos_Mexicanos___Camara_de_Diputados___2026_370529d138_b0034_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\UnADM\licenciatura-en-derecho-unadm\interaprendizaje-en-ambientes-virtuales-lde\referencias-interaprendizaje-en-ambientes-virtuales\libros--interaprendizaje-en-ambientes-virtuales\Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf,"Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 230; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 236; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 258; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 265; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 297; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 300; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 34; Constitucion Politica de los Estados Unidos Mexicanos - Camara de Diputados - 2026.pdf, p. 57",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon varias referencias dentro de la misma fuente.
