ficha,concepto,calidad_ficha,mejor_similitud,similitud_promedio,fuente,tipo_fuente,ubicacion,pagina_o_bloque,similitud,detalle_similitud,cita_textual,fragmento_id,ruta_fuente,ubicaciones_agrupadas,observacion
1,Escritura académica,alta,0.3139,0.1761,La escritura academica en la fo - Maria Ines Corte Vitoria.pdf,pdf,p. 137,137,0.3139,tfidf=0.2339; bonus=0.0800,3. La escritura académica como comunicación. La importancia de un cierto distanciamiento entre la escritura y el estudiante.,La_escritura_academica_en_la_fo___Maria_Ines_Corte_Vitoria_b72aa8e231_b0137_f001,D:\Documentos\LaTEX\Template-Informe\UnADM\redaccion-en-contextos-virtuales\referencias-redaccion-en-contextos-virtuales\libros-redaccion-en-contextos-virtuales\La escritura academica en la fo - Maria Ines Corte Vitoria.pdf,"Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 11; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 12; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 13; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 15; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 16; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 27; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 28; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 73; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 75; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 127; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 137; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 139; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 144; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 37; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 49; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 5; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 52; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 58; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 77; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 86",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
1,Escritura académica,alta,0.3139,0.1761,La escritura academica en la fo - Maria Ines Corte Vitoria.pdf,pdf,p. 127,127,0.2724,tfidf=0.1924; bonus=0.0800,"Escribir con excelencia ortográfica, sintaxis y estilo adecuados son problemas mencionados por los académicos, así como una buena estructuración lógico-argumentativa del texto. Cabe destacar que, a pesar de los problemas identificados en la escritura académica, las universidades uruguayas han puesto en marcha muchas iniciativas que traducen la preocupación institucional por la escritura académica en proyectos para desarrollar las competencias necesarias para mejorar el desempeño académico de los estudiantes.",La_escritura_academica_en_la_fo___Maria_Ines_Corte_Vitoria_b72aa8e231_b0127_f002,D:\Documentos\LaTEX\Template-Informe\UnADM\redaccion-en-contextos-virtuales\referencias-redaccion-en-contextos-virtuales\libros-redaccion-en-contextos-virtuales\La escritura academica en la fo - Maria Ines Corte Vitoria.pdf,"Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 11; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 12; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 13; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 15; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 16; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 27; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 28; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 73; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 75; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 127; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 137; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 139; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 144; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 37; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 49; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 5; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 52; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 58; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 77; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 86",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
1,Escritura académica,alta,0.3139,0.1761,La escritura academica en la fo - Maria Ines Corte Vitoria.pdf,pdf,p. 49,49,0.2695,tfidf=0.1895; bonus=0.0800,"especializados que circulan en el ámbito científico y que, por lo tanto, guardan ciertos rasgos comunes. Sin embargo, hemos de considerar que una escritura académica, aunque deba salvaguardar los rasgos que le son propios, debe también incorporar otros elementos que forman parte de la escritura más allá del contexto académico. Si pensamos en el sentido y en la naturaleza de la escritura como producto cultural, debemos recordar que también sirve para comunicar, difundir ideas, conocimientos, pareceres, reflexiones y análisis que no siempre pueden vehicularse a través de modelos herméticos o protocolares.",La_escritura_academica_en_la_fo___Maria_Ines_Corte_Vitoria_b72aa8e231_b0049_f001,D:\Documentos\LaTEX\Template-Informe\UnADM\redaccion-en-contextos-virtuales\referencias-redaccion-en-contextos-virtuales\libros-redaccion-en-contextos-virtuales\La escritura academica en la fo - Maria Ines Corte Vitoria.pdf,"Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 11; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 12; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 13; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 15; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 16; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 27; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 28; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 73; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 75; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 127; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 137; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 139; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 144; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 37; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 49; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 5; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 52; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 58; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 77; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 86",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
1,Escritura académica,alta,0.3139,0.1761,La escritura academica en la fo - Maria Ines Corte Vitoria.pdf,pdf,p. 144,144,0.2423,tfidf=0.1623; bonus=0.0800,"En definitiva, si consideramos que la base del oficio docente es leer y pensar (hacerlo nosotros mismos y ayudar a hacerlo a nuestros estudiantes) es fácil suponer que la literatura (la disciplinar y la que no lo es) será siempre nuestra gran aliada para lograr una escritura académica de más calidad. PRINCIPIO 6.",La_escritura_academica_en_la_fo___Maria_Ines_Corte_Vitoria_b72aa8e231_b0144_f002,D:\Documentos\LaTEX\Template-Informe\UnADM\redaccion-en-contextos-virtuales\referencias-redaccion-en-contextos-virtuales\libros-redaccion-en-contextos-virtuales\La escritura academica en la fo - Maria Ines Corte Vitoria.pdf,"Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 11; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 12; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 13; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 15; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 16; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 27; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 28; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 73; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 75; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 127; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 137; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 139; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 144; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 37; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 49; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 5; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 52; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 58; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 77; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 86",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
1,Escritura académica,alta,0.3139,0.1761,La escritura academica en la fo - Maria Ines Corte Vitoria.pdf,pdf,p. 37,37,0.24,tfidf=0.1600; bonus=0.0800,"Por eso, entendemos que tanto las propuestas como su realización práctica deban ser más decisiones institucionales, que personales. Llegados a este punto cabe plantearse la cuestión clave en nuestro trabajo cómo profesores: ¿cómo afecta esta vinculación entre escritura y formación integral a la escritura académica y a su rol en los estudios universitarios? ¿Qué tendríamos que hacer para que los estudiantes priorizaran la escritura académica en sus trayectorias universitarias? Ya decíamos que la escritura obliga a quien escribe a pensar, a reconstruir el discurso y, por lo tanto, a no hacerse mero repetidor de quien transmite la información.",La_escritura_academica_en_la_fo___Maria_Ines_Corte_Vitoria_b72aa8e231_b0037_f003,D:\Documentos\LaTEX\Template-Informe\UnADM\redaccion-en-contextos-virtuales\referencias-redaccion-en-contextos-virtuales\libros-redaccion-en-contextos-virtuales\La escritura academica en la fo - Maria Ines Corte Vitoria.pdf,"Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 11; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 12; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 13; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 15; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 16; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 27; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 28; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 73; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 75; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 127; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 137; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 139; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 144; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 37; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 49; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 5; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 52; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 58; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 77; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 86",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
1,Escritura académica,alta,0.3139,0.1761,La escritura academica en la fo - Maria Ines Corte Vitoria.pdf,pdf,p. 5,5,0.2315,tfidf=0.1515; bonus=0.0800,"EPÍLOGO. SIETE PRINCIPIOS PARA EL DESARROLLO DE LA COMPETENCIA DE LA ESCRITURA EN LAS UNIVERSIDADES La escritura académica como comunicación La importancia de un cierto distanciamiento entre la escritura y el estudiante La corrección del texto como ejercicio de autocorrección, mediada por el profesor, pero protagonizada por el estudiante La importancia de la escritura de diferentes géneros textuales No hay buena escritura sin una lectura constante Evaluación de los procesos de escritura académica en la educación superior Convertir la escritura en una rutina amable y afectiva BIBLIOGRAFÍA 5",La_escritura_academica_en_la_fo___Maria_Ines_Corte_Vitoria_b72aa8e231_b0005_f001,D:\Documentos\LaTEX\Template-Informe\UnADM\redaccion-en-contextos-virtuales\referencias-redaccion-en-contextos-virtuales\libros-redaccion-en-contextos-virtuales\La escritura academica en la fo - Maria Ines Corte Vitoria.pdf,"Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 11; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 12; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 13; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 15; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 16; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 27; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 28; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 73; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 75; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 127; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 137; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 139; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 144; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 37; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 49; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 5; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 52; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 58; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 77; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 86",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
1,Escritura académica,alta,0.3139,0.1761,La escritura academica en la fo - Maria Ines Corte Vitoria.pdf,pdf,p. 139,139,0.2145,tfidf=0.1345; bonus=0.0800,"agregar nuevas ideas que clarifiquen las existentes, de retirar las repeticiones. En el fondo, es entender la escritura académica como el ejercicio de una habilidad que se mejora en el (re)hacer constante y sistemático de cada texto que vamos produciendo. Por eso mismo, registrar sin vacilación lo que nos viene a la cabeza, incluso si esa primera escritura fuera aparentemente tosca y primaria, significa dar un gran paso en la dirección a una escritura que será mejorada y cuidada en momentos posteriores.",La_escritura_academica_en_la_fo___Maria_Ines_Corte_Vitoria_b72aa8e231_b0139_f001,D:\Documentos\LaTEX\Template-Informe\UnADM\redaccion-en-contextos-virtuales\referencias-redaccion-en-contextos-virtuales\libros-redaccion-en-contextos-virtuales\La escritura academica en la fo - Maria Ines Corte Vitoria.pdf,"Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 11; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 12; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 13; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 15; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 16; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 27; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 28; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 73; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 75; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 127; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 137; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 139; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 144; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 37; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 49; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 5; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 52; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 58; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 77; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 86",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
1,Escritura académica,alta,0.3139,0.1761,La escritura academica en la fo - Maria Ines Corte Vitoria.pdf,pdf,p. 77,77,0.2145,tfidf=0.1345; bonus=0.0800,"Volviendo al sentido de la Didáctica, en nuestro caso podemos entender que lo que nos ofrece (o pretende ofrecer) es un saber fundado y valioso a la hora de planificar y desarrollar la enseñanza de la escritura. Y, en ese sentido, la didáctica de la escritura académica asume un doble cometido. Por un lado, debe atender, en primer lugar al dominio de la escritura en tanto que competencia básica y transversal.",La_escritura_academica_en_la_fo___Maria_Ines_Corte_Vitoria_b72aa8e231_b0077_f002,D:\Documentos\LaTEX\Template-Informe\UnADM\redaccion-en-contextos-virtuales\referencias-redaccion-en-contextos-virtuales\libros-redaccion-en-contextos-virtuales\La escritura academica en la fo - Maria Ines Corte Vitoria.pdf,"Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 11; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 12; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 13; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 15; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 16; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 27; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 28; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 73; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 75; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 127; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 137; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 139; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 144; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 37; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 49; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 5; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 52; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 58; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 77; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 86",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
1,Escritura académica,alta,0.3139,0.1761,Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf,pdf,p. 16,16,0.201,tfidf=0.1810; bonus=0.0200,"concretas de producir, interpretar y poner en circulación los discursos (Arnoux, 2009). Estas formas particulares —entendidas como conjuntos de enunciados producidos a partir de determinadas actividades humanas— son los géneros discursivos (Bajtin, 1998). Esto supone que las personas, al participar en diferentes ámbitos de la actividad humana, conozcan y utilicen diversos géneros discursivos.",Escritura_academica__De_la_teor___Juan_Antonio_Nunez_Cortes_1a16d092a9_b0016_f001,D:\Documentos\LaTEX\Template-Informe\UnADM\redaccion-en-contextos-virtuales\referencias-redaccion-en-contextos-virtuales\libros-redaccion-en-contextos-virtuales\Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf,"Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 11; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 12; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 13; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 15; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 16; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 27; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 28; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 73; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 75; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 127; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 137; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 139; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 144; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 37; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 49; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 5; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 52; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 58; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 77; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 86",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
1,Escritura académica,alta,0.3139,0.1761,Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf,pdf,p. 13,13,0.1812,tfidf=0.1412; bonus=0.0400,"1 Escribir en la universidad JUAN A. NÚÑEZ CORTÉS 1.1. ¿QUÉ ES LA ALFABETIZACIÓN ACADÉMICA?1 En las últimas décadas se ha generalizado el uso del término alfabetización en diferentes campos del conocimiento a través de expresiones tales como alfabetización científica, económica o informática, entre otras. En estos campos, se asocia a un conocimiento general y a un proceso de sensibilización en relación con nuevos saberes.",Escritura_academica__De_la_teor___Juan_Antonio_Nunez_Cortes_1a16d092a9_b0013_f001,D:\Documentos\LaTEX\Template-Informe\UnADM\redaccion-en-contextos-virtuales\referencias-redaccion-en-contextos-virtuales\libros-redaccion-en-contextos-virtuales\Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf,"Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 11; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 12; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 13; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 15; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 16; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 27; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 28; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 73; Escritura academica. De la teor - Juan Antonio Nunez Cortes.pdf, p. 75; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 127; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 137; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 139; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 144; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 37; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 49; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 5; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 52; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 58; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 77; La escritura academica en la fo - Maria Ines Corte Vitoria.pdf, p. 86",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
